"Numéro de la circonscription";"Numéro du candidat";"Nom";"Prénom";"Numéro du parti politique";"Abréviation du parti politique";"Nombre total de votes";"Taux de vote";"Nombre de votes en avance"
"623";"183";"Moreau";"Claude";"7";"P.M.L.Q.";"43";"0.14";"0"
"429";"213";"Rotiroti";"Filomena";"6";"P.L.Q./Q.L.P.";"27007";"78.53";"24051"
"429";"421";"Harnois";"Joanie";"8";"P.Q.";"2956";"8.6";"0"
"429";"137";"Parent";"Mario";"27";"C.A.Q.-É.F.L.";"2820";"8.2";"0"
"429";"262";"Charpentier";"Stéphanie";"11";"Q.S.";"1154";"3.36";"0"
"429";"773";"Miscione";"Melissa";"10";"P.V.Q./G.P.Q.";"379";"1.1";"0"
"429";"736";"Colly";"Garnet";"7";"P.M.L.Q.";"73";"0.21";"0"
"643";"318";"Bolduc";"Yves";"6";"P.L.Q./Q.L.P.";"15492";"44.5";"7668"
"643";"338";"Laberge";"Clément";"8";"P.Q.";"7824";"22.48";"0"
"643";"484";"Beaulieu";"Hugues";"27";"C.A.Q.-É.F.L.";"7158";"20.56";"0"
"643";"521";"Gueppe";"Eveline";"11";"Q.S.";"3151";"9.05";"0"
"643";"620";"Lavallée";"Alexandre";"26";"O.N. - P.I.Q.";"526";"1.51";"0"
"643";"658";"Couillard";"Maxime";"23";"P.N.";"389";"1.12";"0"
"643";"546";"Roy Verville";"Monique";"22";"É.A.P. - P.C.Q.";"206";"0.59";"0"
"643";"392";"Pouleur";"Stéphane";"29";"É.A.";"66";"0.19";"0"
"269";"682";"Lamontagne";"André";"27";"C.A.Q.-É.F.L.";"13621";"36.06";"1853"
"269";"245";"Blanchet";"Yves-François";"8";"P.Q.";"11768";"31.16";"0"
"269";"701";"Mercier";"Brigitte";"6";"P.L.Q./Q.L.P.";"8946";"23.69";"0"
"269";"813";"Desrochers";"François";"11";"Q.S.";"2365";"6.26";"0"
"269";"895";"Gauthier";"Sébastien";"23";"P.N.";"502";"1.33";"0"
"269";"899";"Doucet";"Magali";"26";"O.N. - P.I.Q.";"304";"0.8";"0"
"269";"599";"Lussier";"Benoit";"22";"É.A.P. - P.C.Q.";"262";"0.69";"0"
"361";"81";"Hivon";"Véronique";"8";"P.Q.";"17477";"44.33";"6806"
"361";"479";"Larouche";"Denise";"27";"C.A.Q.-É.F.L.";"10671";"27.07";"0"
"361";"509";"Corriveau";"Robert";"6";"P.L.Q./Q.L.P.";"7681";"19.48";"0"
"361";"322";"Trudel";"Flavie";"11";"Q.S.";"2866";"7.27";"0"
"361";"756";"Legault";"Sylvain";"26";"O.N. - P.I.Q.";"510";"1.29";"0"
"361";"337";"Colangelo Lauzon";"Mikey";"22";"É.A.P. - P.C.Q.";"220";"0.56";"0"
"773";"253";"Gaudreault";"Sylvain";"8";"P.Q.";"13487";"43.52";"5233"
"773";"681";"Pageau";"Tommy";"6";"P.L.Q./Q.L.P.";"8254";"26.63";"0"
"773";"912";"Boucher";"Mélanie";"27";"C.A.Q.-É.F.L.";"7318";"23.61";"0"
"773";"807";"Dumais";"Réjean";"11";"Q.S.";"1608";"5.19";"0"
"773";"854";"Beaulieu";"Nicolas";"26";"O.N. - P.I.Q.";"326";"1.05";"0"
"545";"551";"Pagé";"Sylvain";"8";"P.Q.";"13806";"45.16";"6155"
"545";"263";"Lacroix";"Christian";"6";"P.L.Q./Q.L.P.";"7651";"25.03";"0"
"545";"568";"Remy-Quevedo";"Cedrick";"27";"C.A.Q.-É.F.L.";"6447";"21.09";"0"
"545";"604";"Dagenais";"Gabriel";"11";"Q.S.";"2457";"8.04";"0"
"545";"722";"Richard-Léonard";"Philippe";"26";"O.N. - P.I.Q.";"211";"0.69";"0"
"779";"287";"Cloutier";"Alexandre";"8";"P.Q.";"13159";"44.53";"4828"
"779";"804";"Gagnon";"Pascal";"6";"P.L.Q./Q.L.P.";"8331";"28.19";"0"
"779";"937";"Marchildon";"Élise";"27";"C.A.Q.-É.F.L.";"5412";"18.32";"0"
"779";"938";"Plamondon";"Frédérick";"11";"Q.S.";"1872";"6.34";"0"
"779";"860";"Dubé";"Francis";"23";"P.N.";"318";"1.08";"0"
"779";"863";"Lavoie";"Yann";"22";"É.A.P. - P.C.Q.";"235";"0.8";"0"
"779";"649";"Fauteux-Aïmola";"Sabrina";"26";"O.N. - P.I.Q.";"222";"0.75";"0"
"371";"252";"Tanguay";"Marc";"6";"P.L.Q./Q.L.P.";"22476";"73.26";"19149"
"371";"506";"Pelletier";"Mathieu";"8";"P.Q.";"3327";"10.84";"0"
"371";"752";"Di Battista Manseau";"Julie";"27";"C.A.Q.-É.F.L.";"3303";"10.77";"0"
"371";"523";"Martineau";"Véronique";"11";"Q.S.";"1189";"3.88";"0"
"371";"705";"Drouin";"Benoit";"10";"P.V.Q./G.P.Q.";"233";"0.76";"0"
"371";"840";"Dao Phan";"Geneviève";"26";"O.N. - P.I.Q.";"116";"0.38";"0"
"371";"333";"Le Seigle";"Yves";"7";"P.M.L.Q.";"34";"0.11";"0"
"603";"675";"Caire";"Éric";"27";"C.A.Q.-É.F.L.";"21386";"50.33";"7024"
"603";"513";"Gagnon";"France";"6";"P.L.Q./Q.L.P.";"14362";"33.8";"0"
"603";"286";"Desgagnés";"Paule";"8";"P.Q.";"4281";"10.07";"0"
"603";"169";"Jobin-Lawler";"Alexandre";"11";"Q.S.";"1444";"3.4";"0"
"603";"88";"Pouliot";"Thomas";"22";"É.A.P. - P.C.Q.";"561";"1.32";"0"
"603";"501";"Belleau";"Éric";"26";"O.N. - P.I.Q.";"274";"0.64";"0"
"603";"207";"Dion-Garneau";"Camille";"29";"É.A.";"185";"0.44";"0"
"203";"265";"Barrette";"Gaétan";"6";"P.L.Q./Q.L.P.";"25955";"58.29";"15503"
"203";"397";"Houda-Pepin";"Fatima";"0";"Ind";"10452";"23.47";"0"
"203";"427";"Kim";"Jin";"27";"C.A.Q.-É.F.L.";"5600";"12.58";"0"
"203";"676";"Beaupré";"Johane";"11";"Q.S.";"1728";"3.88";"0"
"203";"724";"Létourneau-Prézeau";"François";"26";"O.N. - P.I.Q.";"534";"1.2";"0"
"203";"712";"Fernandez";"Sebastian";"22";"É.A.P. - P.C.Q.";"256";"0.57";"0"
"209";"133";"Ménard";"Nicole";"6";"P.L.Q./Q.L.P.";"15804";"47.65";"7803"
"209";"184";"Stanké";"Sophie";"8";"P.Q.";"8001";"24.12";"0"
"209";"784";"LeBlanc";"Donald";"27";"C.A.Q.-É.F.L.";"5919";"17.85";"0"
"209";"811";"St-Denis";"Michèle";"11";"Q.S.";"2530";"7.63";"0"
"209";"99";"Baril";"Marcel";"10";"P.V.Q./G.P.Q.";"573";"1.73";"0"
"209";"771";"Dupuis";"Linda";"26";"O.N. - P.I.Q.";"182";"0.55";"0"
"209";"255";"Godin";"Christian";"22";"É.A.P. - P.C.Q.";"156";"0.47";"0"
"183";"109";"Merlini";"Richard";"6";"P.L.Q./Q.L.P.";"11110";"33.95";"435"
"183";"876";"Le Bouyonnec";"Stéphane";"27";"C.A.Q.-É.F.L.";"10675";"32.62";"0"
"183";"102";"Langlois";"Pierre";"8";"P.Q.";"8591";"26.25";"0"
"183";"882";"André";"Marilou";"11";"Q.S.";"1938";"5.92";"0"
"183";"716";"Gouin";"Jean-Pierre";"26";"O.N. - P.I.Q.";"162";"0.5";"0"
"183";"104";"L'Heureux";"Guy";"22";"É.A.P. - P.C.Q.";"162";"0.5";"0"
"183";"316";"Chouinard";"Normand";"7";"P.M.L.Q.";"85";"0.26";"0"
"363";"229";"Legault";"François";"27";"C.A.Q.-É.F.L.";"18719";"49.38";"7178"
"363";"146";"Paquette";"Pierre";"8";"P.Q.";"11541";"30.44";"0"
"363";"381";"Bergevin";"Jean-Marc";"6";"P.L.Q./Q.L.P.";"5057";"13.34";"0"
"363";"487";"Fournier";"Sylvain";"11";"Q.S.";"2198";"5.8";"0"
"363";"874";"Gauthier";"Gabriel";"26";"O.N. - P.I.Q.";"226";"0.6";"0"
"363";"462";"Raynault";"Charles-Étienne";"22";"É.A.P. - P.C.Q.";"169";"0.45";"0"
"423";"242";"Sklavounos";"Gerry";"6";"P.L.Q./Q.L.P.";"15566";"46.19";"6236"
